nom_genre,nom_espece,nom_complet,annee_espece,annee_genre,autorite_espece
Achaebana,insularis,Achaebana insularis,1925,2002,"(Muir, 1925)"
Achaemenes,ambalavensis,Achaemenes ambalavensis,1965,1866,"Synave, 1965"
Achaemenes,andringitensis,Achaemenes andringitensis,1965,1866,"Synave, 1965"
Achaemenes,apicemaculatus,Achaemenes apicemaculatus,1953,1866,"Synave, 1953"
Achaemenes,australis,Achaemenes australis,1851,1866,"(Walker, 1851)"
Achaemenes,basilewskyi,Achaemenes basilewskyi,1960,1866,"Synave, 1960"
Achaemenes,brixioides,Achaemenes brixioides,1989,1866,"Van Stalle, 1989"
Achaemenes,coriaceus,Achaemenes coriaceus,1957,1866,"Fennah, 1957"
Achaemenes,costalis,Achaemenes costalis,1866,1866,"Stål, 1866"
Achaemenes,diluta,Achaemenes diluta,1866,1866,"Stål, 1866"
Achaemenes,entabeniensis,Achaemenes entabeniensis,1959,1866,"Synave, 1959"
Achaemenes,eshowei,Achaemenes eshowei,1952,1866,"Synave, 1952"
Achaemenes,flavescens,Achaemenes flavescens,1953,1866,"Synave, 1953"
Achaemenes,furciferens,Achaemenes furciferens,1989,1866,"Van Stalle, 1989"
Achaemenes,hyleorias,Achaemenes hyleorias,1973,1866,"Linnavuori, 1973"
Achaemenes,intersparsus,Achaemenes intersparsus,1917,1866,"Jacobi, 1917"
Achaemenes,kalongensis,Achaemenes kalongensis,1963,1866,"Synave, 1963"
Achaemenes,kampalensis,Achaemenes kampalensis,1989,1866,"Van Stalle, 1989"
Achaemenes,kilimanus,Achaemenes kilimanus,1910,1866,"Jacobi, 1910"
Achaemenes,lobata,Achaemenes lobata,1989,1866,"Van Stalle, 1989"
Achaemenes,lokobensis,Achaemenes lokobensis,1965,1866,"Synave, 1965"
Achaemenes,longipennis,Achaemenes longipennis,1851,1866,"(Walker, 1851)"
Achaemenes,longispina,Achaemenes longispina,1960,1866,"Synave, 1960"
Achaemenes,macabeanus,Achaemenes macabeanus,1965,1866,"Synave, 1965"
Achaemenes,machadoi,Achaemenes machadoi,1961,1866,"Synave, 1961"
Achaemenes,maculatus,Achaemenes maculatus,1956,1866,"Synave, 1956"
Achaemenes,major,Achaemenes major,1917,1866,"Jacobi, 1917"
Achaemenes,malaisei,Achaemenes malaisei,1953,1866,"Synave, 1953"
Achaemenes,marginatus,Achaemenes marginatus,1963,1866,"Synave, 1963"
Achaemenes,marleyi,Achaemenes marleyi,1959,1866,"Synave, 1959"
Achaemenes,monticola,Achaemenes monticola,1986,1866,"Van Stalle, 1986"
Achaemenes,musakensis,Achaemenes musakensis,1989,1866,"Van Stalle, 1989"
Achaemenes,niger,Achaemenes niger,1905,1866,"Melichar, 1905"
Achaemenes,notatinervis,Achaemenes notatinervis,1866,1866,"Stål, 1866"
Achaemenes,obscurus,Achaemenes obscurus,1953,1866,"Synave, 1953"
Achaemenes,ornatipennis,Achaemenes ornatipennis,1866,1866,"Stål, 1866"
Achaemenes,pauliani,Achaemenes pauliani,1952,1866,"Lallemand & Synave, 1952"
Achaemenes,pingatus,Achaemenes pingatus,1989,1866,"Van Stalle, 1989"
Achaemenes,pseudocostalis,Achaemenes pseudocostalis,1989,1866,"Van Stalle, 1989"
Achaemenes,punctatus,Achaemenes punctatus,1989,1866,"Synave, 1989"
Achaemenes,quinquespinosus,Achaemenes quinquespinosus,1960,1866,"Synave, 1960"
Achaemenes,resurgens,Achaemenes resurgens,1858,1866,"(Walker, 1858)"
Achaemenes,robinsoni,Achaemenes robinsoni,1965,1866,"Synave, 1965"
Achaemenes,sakalava,Achaemenes sakalava,1917,1866,"Jacobi, 1917"
Achaemenes,seydeli,Achaemenes seydeli,1959,1866,"Synave, 1959"
Achaemenes,splendens,Achaemenes splendens,1956,1866,"Synave, 1956"
Achaemenes,synavei,Achaemenes synavei,1975,1866,"Williams, 1975"
Achaemenes,terminalis,Achaemenes terminalis,1910,1866,"Jacobi, 1910"
Achaemenes,tristis,Achaemenes tristis,1958,1866,"Fennah, 1958"
